word,value,category_totals,category,sub_category,,,,theme_1
children,78,,impact,children,,,,america
kids,31,,impact,children,,,,america
childhood,28,,impact,children,,,,america
young,28,,impact,children,165,8,,america
diabetes,112,,impact,disease,,,,america
disease,68,,impact,disease,,,,children
blood,61,,impact,disease,,,,children
heart,56,,impact,disease,,,,children
risk,38,,impact,disease,,,,children
cancer,36,,impact,disease,,,,health
diseases,34,,impact,disease,,,,health
pain,29,,impact,disease,,,,health
patients,28,,impact,disease,,,,health
death,27,,impact,disease,489,24,,health
obese,298,,impact,obesity,,,,health
weight,230,,impact,obesity,,,,health
overweight,121,,impact,obesity,,,,health
bmi,110,,impact,obesity,,,,health
body,99,,impact,obesity,,,,health
fat,75,,impact,obesity,,,,children
fattest,46,,impact,obesity,,,,children
pounds,28,,impact,obesity,1007,50,,lifestyle
epidemic,88,,impact,problems,,,,lifestyle
problem,75,,impact,problems,,,,lifestyle
problems,40,1864,impact,problems,203,10,,lifestyle
school,44,,response,education,,,,lifestyle
education,31,,response,education,75,3/4,,health
healthy,71,,response,lifestyle,,,,lifestyle
detox,81,,response,lifestyle,,,,lifestyle
water,68,,response,lifestyle,,,,lifestyle
lifestyle,51,,response,lifestyle,,,,lifestyle
exercise,40,,response,lifestyle,,,,lifestyle
wellness,31,,response,lifestyle,,,,lifestyle
nutrition,28,,response,lifestyle,370,18/19,,health
medicine,45,,response,medicine,,,,health
hospital,41,,response,medicine,,,,health
treatment,38,,response,medicine,,,,health
doctors,34,,response,medicine,,,,health
surgery,26,,response,medicine,184,9/9,,obesity
science,29,,response,science,,,,obesity
information,72,,response,science,,,,obesity
research,70,800,response,science,171,8/9,,obesity
america,73,,source,america,,,,obesity
united,56,,source,america,,,,obesity
states,50,,source,america,,,,obesity
american,46,,source,america,,,,obesity
usa,25,,source,america,250,12/13,,health
food,245,,source,food,,,,
diet,245,,source,food,,,,
foods,55,,source,food,,,,health
eating,47,,source,food,,,,
eat,38,880,source,food,630,31/32,,
care,69,,,,,,,
loss,65,,,,,,,
lose,58,,,,,,,
please,58,,,,,,,
average,57,,,,,,,
rate,51,,,,,,,
jobs,51,,,,,,,
number,49,,,,,,,
percent,46,,,,,,,
rates,45,,,,,,,
quality,38,,,,,,,
higher,33,,,,,,,
highest,32,,,,,,,
need,32,,,,,,,
society,31,,,,,,,
industry,31,,,,,,,
support,30,,,,,,,
study,28,,,,,,,
living,28,,,,,,,
should,28,,,,,,,
mass,28,,,,,,,
increase,28,,,,,,,
data,27,,,,,,,
index,27,,,,,,,
physical,27,,,,,,,
gain,27,,,,,,,
statistics,26,,,,,,,
