word,instances,category,sub_category,category total,sub totals,,,theme_1
children,35,impact,children,,35,,,children
diabetes,132,impact,disease,,,,,health
disease,65,impact,disease,,,,,health
death,53,impact,disease,,,,,health
diseases,48,impact,disease,,,,,health
heart,47,impact,disease,,,,,health
risk,42,impact,disease,,,,,health
blood,37,impact,disease,,,,,health
cancer,32,impact,disease,,456,,,health
obese,235,impact,obesity,,,,,obesity
weight,148,impact,obesity,,,,,obesity
bmi,106,impact,obesity,,,,,obesity
overweight,93,impact,obesity,,,,,obesity
fat,66,impact,obesity,,,,,obesity
body,55,impact,obesity,,,,,obesity
fattest,49,impact,obesity,,752,,,obesity
epidemic,32,impact,problem,,,,,health
problem,43,impact,problem,,,,,
problems,35,impact,problem,1353,110,270.6,,
learn,37,intervention,education,,37,,,
healthy,70,intervention,lifestyle,,,,,health
nutrition,39,intervention,lifestyle,,,,,lifestyle
fitness,29,intervention,lifestyle,,,,,lifestyle
natural,28,intervention,lifestyle,,,,,lifestyle
exercise,27,intervention,lifestyle,,,,,lifestyle
lifestyle,24,intervention,lifestyle,,217,,,lifestyle
research,48,intervention,science,,,,,
information,43,intervention,science,345,91,69,,
american,62,source,america,,,,,america
states,45,source,america,,,,,america
america,38,source,america,,145,,,america
food,153,source,food,,,,,lifestyle
diet,70,source,food,,,,,lifestyle
oil,38,source,food,,,,,lifestyle
eating,37,source,food,,,,,lifestyle
cook,31,source,food,,,,,lifestyle
foods,27,source,food,,,,,lifestyle
sugar,25,source,food,526,381,105.2,,lifestyle
community,49,,,,,,,
help,47,,,,,,,
data,44,,,,,,,
free,36,,,,,,,
study,30,,,,,,,
